video_id,author,published_at,like_count,text,time_period,script,sentiment_label
5XkszPOC2Dg,@mybookismylife.2798,2022-05-16 04:25:15,27.0,"युवा बुद्धिमान, प्रतिभाशाली, ऊर्जावान बालेन बहुमुखी प्रतिभाशाली व्यक्ति हुन्। उनको विशाल प्रशंसक",before_election,Devanagari,negative
5XkszPOC2Dg,@ganeshrasaeli1279,2022-05-19 22:02:42,2.0,मेयर बन्ने केबीआर सुनेर खोज गरिरहेँ हेर आउने कती जान हुनहुन्क्स<br>शुभकामना दाजु यसलाई जारी राख्नुहोस्,before_election,Devanagari,negative
-WS50u_kjFw,@SurajKumar-ib9no,2022-05-25 18:38:51,0.0,बालेन शाह अर्को दिउँसो,before_election,Devanagari,neutral
UQBWAuoppkw,@netrabahadur262,2022-03-19 19:14:21,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,neutral
5XkszPOC2Dg,@maskedhero5600,2022-05-18 14:39:18,0.0,बान्नन्न्काआएइ <br>IYKYK,before_election,Devanagari,neutral
UQBWAuoppkw,@anojchaulagain2659,2022-04-15 05:23:17,0.0,"बलेन जी लै मेरो सुजाब <br>१.गफ हान्डै हिड्नु वान्डा.. हरेक इन्जिनियरिङ, अवलोकन.. संगा कोल्ज मै गयारा समन्वय गरनु पर्यो.. शिक्षित युवाहरु हारु तापीको साथ हुनसक्छ। भोट didaina<br><br>२.अजै धुपारी समय xa इन्जिनियरिङ कक्षा अनलाइन दिन सकनु वो वने आजै रामरो... ड्राइंग हरु को आधारभूत देखि जटिल पढाइ सिक्कानु भो वाने.. यसले ठूलो क्रान्ति गर्नेछ<br>3। र्‍याप ले युवा लाइ प्रमोट गर्क्सा भाने.. लोक धोरी मञ्च जस्तै इन्द्रेणी मा गयारा बुढा पाखा लै प्रमोटे गरनु परी<br>4. युट्युब मै सिमित नवाई.. सार्वजनिक मा देखा पर्नु पारो",before_election,Devanagari,positive
UQBWAuoppkw,@gopalgurung574,2022-04-22 11:20:53,1.0,अचम्मको,before_election,Devanagari,neutral
YRNXYk7Jd1s,@safalgurungg1310,2022-04-18 13:54:52,0.0,अप,before_election,Devanagari,neutral
mHjX-6TJawk,@mandalabyromi,2022-04-29 15:03:56,0.0,हाहाहाहाहा,before_election,Devanagari,neutral
42L17-L0nzs,@lokendradhakal6839,2022-05-29 09:48:30,2.0,बलेन ले काम गर्ना सकचन जय बलेन,before_election,Devanagari,negative
UQBWAuoppkw,@weedvlogs6_946,2022-04-07 19:50:07,0.0,"<a href=""http://www.youtube.com/results?search_query=%23legalizenepal"">#legalizenepal</a>",before_election,Devanagari,positive
n-sFRIOYkiY,@Ranjitmagar1,2022-05-24 02:52:31,3.0,कच्चा बर्ज देखी नै समर्थन गर्क्सु माता,before_election,Devanagari,neutral
YRNXYk7Jd1s,@3funnybuddies430,2022-05-22 07:28:43,0.0,"<a href=""https://www.youtube.com/watch?v=YRNXYk7Jd1s&amp;t=2322"">38:42</a> beluun",before_election,Devanagari,neutral
UQBWAuoppkw,@udiprai3493,2022-03-25 17:59:49,0.0,दाइ आनी यो सरकार निकाया तिरा काम गर्ने मन्चै लाई किन लोकसेवा आठवा राजनीतिक को अबसेक्ता परछ। लोकसेवाको महत्व छ त्यहा भो तारा कर्मचारी काम हुदा हुदै निश्चित समय को लागी भये पानी योग्य व्यक्ति लाई मौका दिनु परछ । त्यो मेरो दृष्टिकोण हो। तिम्रो के हो?,before_election,Devanagari,negative
YRNXYk7Jd1s,@shankarkc573,2022-05-08 14:03:55,0.0,", <a href=""https://www.youtube.com/watch?v=qTyx6E03Owg"">https://youtu.be/qTyx6E03Owg</a>",before_election,Devanagari,negative
UQBWAuoppkw,@watssssuppppppp,2022-05-22 19:24:34,0.0,संजय मेरो विचार जस्तै छ ... फेरि भेट्न आउनुहोस्?,before_election,Devanagari,positive
42L17-L0nzs,@gaubesiblog6192,2022-05-30 01:06:46,0.0,उर्फ बालेन चाहि नवान हो झपड खालस,before_election,Devanagari,negative
YRNXYk7Jd1s,@user-hq2fu5pn7n,2022-05-09 08:14:07,0.0,ल,before_election,Devanagari,positive
5XkszPOC2Dg,@bikalpaudel3128,2022-05-27 04:12:18,1.0,मेयर साहब को गीत सुन्ना फेरी २ बर्ष पछी आयो,before_election,Devanagari,negative
YRNXYk7Jd1s,@New_Life7564,2022-05-06 15:47:23,0.0,११४ हजार लाइकहरू,before_election,Devanagari,positive
mHjX-6TJawk,@arjunptlama3555,2022-05-23 12:09:09,2.0,"हो भाइ, यो त अन्तर्वार्ता जस्तै हो।",before_election,Devanagari,neutral
-WS50u_kjFw,@davidghlan8490,2022-05-29 17:33:42,0.0,बालेन दाई,before_election,Devanagari,neutral
5XkszPOC2Dg,@phur11,2021-10-16 05:49:25,0.0,वाह वाह वाह,before_election,Devanagari,positive
UQBWAuoppkw,@aashish118822,2022-05-11 18:46:50,0.0,१ लाख हेराइहरू,before_election,Devanagari,positive
UQBWAuoppkw,@induacharya9759,2022-05-20 05:09:58,1.0,८ ४ १२ ८ तालिका ? ४-८ ? ...!,before_election,Devanagari,negative
YRNXYk7Jd1s,@sarkar2745,2022-04-18 17:18:42,0.0,३८ ५०,before_election,Devanagari,neutral
YRNXYk7Jd1s,@Basantavlogs56,2022-04-19 12:16:02,0.0,ठूलो फ्यान,before_election,Devanagari,neutral
YRNXYk7Jd1s,@RajTmg-dm1nx,2022-04-20 07:01:41,0.0,वाह,before_election,Devanagari,positive
mHjX-6TJawk,@pradiprijal3240,2022-04-12 06:34:52,0.0,बालेन शाह,before_election,Devanagari,positive
mHjX-6TJawk,@itsbunnyofficial7021,2022-02-22 12:07:16,132.0,१ फ्रेममा २ लेजेन्डहरू,before_election,Devanagari,neutral
mHjX-6TJawk,@sagarlama9386,2022-05-20 23:05:59,0.0,"श्री सन्दीपले ""अतंकवादी को चोरी लाई"" को बारेमा दिएको बयान पछि मलाई धेरै नराम्रो लाग्यो।",before_election,Devanagari,negative
YRNXYk7Jd1s,@parbatithapa3245,2022-05-19 16:20:38,0.0,यो देखाउ मा बलेन आको छ वानेरा थानाई थैना....खुसी लाग्यो,before_election,Devanagari,negative
YRNXYk7Jd1s,@bohorabipson1380,2022-04-17 16:08:14,0.0,यो सिरियल &quot; sakkigoni&quot; Episode 1-64 samma nxutae continue herne ko-ko hoisinxa eta cmmnt plz...,before_election,Devanagari,neutral
5XkszPOC2Dg,@durgeshgm6584,2022-05-21 18:12:43,1.0,माया त माया,before_election,Devanagari,neutral
-WS50u_kjFw,@gsmagar4431,2022-05-25 16:04:07,0.0,गोइड पिन्ट,before_election,Devanagari,negative
YRNXYk7Jd1s,@mongoltapa8404,2022-04-20 19:53:25,0.0,वाह,before_election,Devanagari,positive
YRNXYk7Jd1s,@kamalthapa8705,2022-05-07 09:49:09,0.0,बालेन शा,before_election,Devanagari,positive
mHjX-6TJawk,@dhanagc2894,2022-05-18 07:32:59,0.0,जया लौरो,before_election,Devanagari,positive
YRNXYk7Jd1s,@samikshyagaihre4302,2022-04-25 12:55:42,0.0,म छक्क परें बेल उठ।,before_election,Devanagari,negative
YRNXYk7Jd1s,@Superhit_filem_Ep,2022-05-26 14:01:25,0.0,दिदी ले तव नानी नि पैसाको,before_election,Devanagari,negative
-WS50u_kjFw,@gambahadurgurung9916,2022-05-23 15:48:57,0.0,राम्रो छ कतिन बालेन सर।,before_election,Devanagari,negative
42L17-L0nzs,@nirbahadur5826,2022-05-29 08:31:23,1.0,आफ्नो देश मा नेपाली लाइ सरम् छाने जय जय बनाय का छन मडेसे लै बलेन साह लाई बनाई नेता थुका आफनो देश मा नेपाली चानन र नेता होना लाइ केना के अरु को देश मा नेपाली लाइ असरे देन्चा रा नेता यो नेपालका लागि देशको नेतृत्व जहाजमा दिनको लागि पूर्ण छैन,before_election,Devanagari,positive
UQBWAuoppkw,@rajasab8831,2022-03-31 10:29:47,0.0,लभ यु बलेन दाइ योर <br>हजुर को हर कुरले मन छाउ,before_election,Devanagari,negative
mHjX-6TJawk,@myfunkybeats,2022-05-20 04:03:20,0.0,सन्दिप क्षेत्री छयेको बन्डा बसो अनि बिगरेको आंग्रेजी छोड्छ,before_election,Devanagari,positive
YRNXYk7Jd1s,@khatrisuresh3654,2022-05-05 11:53:17,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,negative
YRNXYk7Jd1s,@shantashantinagar1961,2022-05-08 07:23:31,0.0,स्वागत छ धतुरे बा,before_election,Devanagari,negative
UQBWAuoppkw,@siddharthaneupane1005,2022-05-13 21:25:26,0.0,"<a href=""https://www.youtube.com/watch?v=UQBWAuoppkw&amp;t=5480"">१:३१:२०</a>",before_election,Devanagari,negative
UQBWAuoppkw,@santoshbhandari616,2022-05-11 09:24:48,0.0,शुभकामना दाई,before_election,Devanagari,positive
UQBWAuoppkw,@karnasinghbudha624,2022-04-13 04:40:20,0.0,बालेन शाहलाई भोट दिनुहोस्,before_election,Devanagari,positive
YRNXYk7Jd1s,@anujadhikari6765,2022-04-21 10:37:46,0.0,सबाइले बलेन है भोट हाल्नु होला,before_election,Devanagari,negative
mHjX-6TJawk,@ashoktuladhar449,2022-05-05 15:15:46,0.0,त साला खाते पानी ज्ञानमारा को पल्टु कुकुर नै भयर निस्कियो,before_election,Devanagari,negative
5XkszPOC2Dg,@baldevkhadka4353,2022-05-05 07:05:17,0.0,"<a href=""http://www.youtube.com/results?search_query=%23voteforbalen"">#voteforbalen</a>",before_election,Devanagari,neutral
YRNXYk7Jd1s,@ajaydudhraj1017,2022-04-29 09:21:01,0.0,हिपप र्याप को यति ढेरै मजाक पानी नबनाको भया हुंथियो कमेडी सिरियल हो भन्दामा,before_election,Devanagari,neutral
YRNXYk7Jd1s,@Naaike448,2022-05-14 17:37:46,0.0,"<a href=""https://youtu.be/xtF8UAzTF5"">https://youtu.be/xtF8UAzTF5</a> वाह",before_election,Devanagari,positive
YRNXYk7Jd1s,@danielpun2636,2022-05-01 11:50:03,0.0,हाम्रो रक्चा बैनी हिरोने बता मोटायरा जेरोन वायेको,before_election,Devanagari,negative
UQBWAuoppkw,@nabinghale4331,2022-05-08 22:19:05,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,positive
YRNXYk7Jd1s,@dimpleking4780,2022-05-15 13:19:04,0.0,"<a href=""https://www.youtube.com/watch?v=YRNXYk7Jd1s&amp;t=1115"">18:35</a> min maa pol maa worldlink ko fiber dekhixa tw कुन gaau hoo",before_election,Devanagari,neutral
-WS50u_kjFw,@anujasharma8154,2022-05-18 15:26:51,0.0,को हो यो मुगी बालेन शाह,before_election,Devanagari,neutral
YRNXYk7Jd1s,@rajshrestha515,2022-05-04 07:26:34,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,neutral
5XkszPOC2Dg,@ranajodi2375,2022-04-23 06:48:38,0.0,गीतको शब्द,before_election,Devanagari,positive
-WS50u_kjFw,@santoshirokka7555,2022-05-18 05:46:12,0.0,हजुर,before_election,Devanagari,neutral
mHjX-6TJawk,@ayuvshrestha6706,2022-04-27 07:32:30,0.0,बालेन,before_election,Devanagari,negative
YRNXYk7Jd1s,@Hemmagar204,2022-04-27 19:01:29,0.0,<br><br>https://youtu.be/FW2jY-muEEg,before_election,Devanagari,negative
-WS50u_kjFw,@puntumanrai6999,2022-05-20 09:39:31,0.0,सबाई कुरा थिक्सा तारा यो अनमोल केसी को कुरा छै हसुथ्यो है,before_election,Devanagari,neutral
mHjX-6TJawk,@Fz250guy,2022-05-16 01:30:59,0.0,मेयर पत्कैसाक्यो झोरो ले,before_election,Devanagari,negative
UQBWAuoppkw,@praptyy_,2022-05-01 11:54:32,0.0,तिमी अद्भुत छौ।,before_election,Devanagari,positive
5XkszPOC2Dg,@thinlizzy2090,2022-05-19 21:46:50,2.0,Ktm को मेयर बबल xa<br>हार्दिक बधाई,before_election,Devanagari,positive
UQBWAuoppkw,@prakashsainju3816,2022-03-29 14:11:03,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,neutral
5XkszPOC2Dg,@bharatthapa3448,2022-04-09 08:37:43,0.0,बलेन यु बौधबाट बेस्ट lv u हुनुहुन्छ,before_election,Devanagari,negative
YRNXYk7Jd1s,@santoshkhanal6883,2022-04-27 05:58:06,0.0,मेरो भोट दाइ,before_election,Devanagari,negative
UQBWAuoppkw,@subinpaudel6997,2022-04-20 03:08:55,2.0,बालेनलाई भोट दिनुहोस्।!!!,before_election,Devanagari,positive
YRNXYk7Jd1s,@ravidhakal7499,2022-05-03 06:54:23,0.0,श्या बेजाती,before_election,Devanagari,neutral
mHjX-6TJawk,@indiractri6550,2022-05-15 05:45:46,0.0,बालेन साहा,before_election,Devanagari,positive
mHjX-6TJawk,@minbahaudrranabhat.9829,2022-05-02 20:52:45,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,neutral
YRNXYk7Jd1s,@durgasasankhar6552,2022-04-17 17:02:15,0.0,जी बब को हवाले सुयो xa मेन जीबी लाई प्रथमिकता दियारा यो एपिसोड बनायको हो,before_election,Devanagari,neutral
UQBWAuoppkw,@sugamkhadgi2842,2022-05-16 21:52:03,0.0,१०० रुपैयाँ सही बालेन दाई,before_election,Devanagari,positive
YRNXYk7Jd1s,@dilranighale5118,2022-04-21 10:59:53,0.0,नयाँ वर्ष 2079 दत्तुरी बाबा ढेराई दमीको शुभकामना,before_election,Devanagari,positive
UQBWAuoppkw,@rammaharjan8674,2022-05-09 06:45:28,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,neutral
UQBWAuoppkw,@sanssanskar9378,2022-04-14 18:31:38,1.0,", <br> , <br><a href=""http://www.youtube.com/results?search_query=%23voteforbalen"">#voteforbalen</a><br><a href=""http://www.youtube.com/results?search_query=%23balenformayor"">#balenformayor</a>",before_election,Devanagari,positive
-WS50u_kjFw,@nisashrestha1499,2022-05-20 07:49:51,0.0,अब चाहिँ हाम्रो देश नी रामरो हुन्छ कि बुढो नेता हरु त डेरा आयो घ्यो अब पलो बलेन दै को पढेलेको नेता हे हमी ले भोट दिएको छु जित्नु भयो र रामरो काम घरनु होला जनता को विश्वास मायाको कानून बनाइले बनाइलाग्छ । कामायरा खानु नदी वायो कर चाहिँ समय मा तिर्नु पर्ने रे जनताले दुख दिनी नेता हारु अबो हजुर ले जित्नु हुन्छ भने विश्वास च मात्र जितेर देश जनता ला रामरो हुने काम घर्नुस शुभकामना। बलेन दाई भोट सब ले हजुर लादेको छ अर्को छोटी नी जित हजुर को,before_election,Devanagari,negative
YRNXYk7Jd1s,@kshitizoffical4651,2022-04-25 08:33:39,0.0,@बेलेन दे हमी 11 देखी 16 सम्मा को नी जुनियर lvl बनाउनु पर्यो,before_election,Devanagari,neutral
UQBWAuoppkw,@NEPALHDDTV,2022-05-01 15:45:45,0.0,सलाम छ बले भाइ,before_election,Devanagari,negative
UQBWAuoppkw,@ioeentranceguide6217,2022-04-02 15:27:12,0.0,सबैभन्दा राम्रो अन्तर्वार्ता।,before_election,Devanagari,positive
-WS50u_kjFw,@Jenitapoudel,2022-05-25 21:08:22,0.0,सम्मान; तपाईंको विश्वासपात्र १००% जितिन्क्सा,before_election,Devanagari,neutral
5XkszPOC2Dg,@sudeepkhatri3534,2022-04-18 02:05:41,0.0,जय बालेन जय नेपाल,before_election,Devanagari,positive
YRNXYk7Jd1s,@humagiri991,2022-04-18 10:40:43,0.0,सही हो सही हो गेस्स,before_election,Devanagari,positive
mHjX-6TJawk,@lovekishorbista6687,2022-05-13 06:26:15,0.0,यो ..भनेको अरु को ध्यान मागेको हो .यो ब्रो भनेको नमस्ते ब्रो भनेको जस्तै हो,before_election,Devanagari,positive
-WS50u_kjFw,@shekhardhakal6620,2022-05-22 17:07:15,0.0,नम्बर केना दिनस ओइए मुजी नकली मिडिया,before_election,Devanagari,negative
UQBWAuoppkw,@sahilg.c2622,2022-05-11 16:45:50,1.0,बालेन शाहलाई भोट दिनुहोस्,before_election,Devanagari,neutral
YRNXYk7Jd1s,@minakhatri2506,2022-04-26 14:12:44,0.0,Gf केटी,before_election,Devanagari,neutral
UQBWAuoppkw,@santoshkatuwal5477,2022-04-08 18:41:11,0.0,"अगाडि बढ्नुहोस् बालेन सर, तपाईंको उत्कृष्ट सोचको स्तर कायम राख्नुहोस्। प्रशंसा गरियो।",before_election,Devanagari,positive
YRNXYk7Jd1s,@milanacharya7632,2022-04-25 16:30:35,0.0,बालेन दाईलाई भोट दिनुहोस्,before_election,Devanagari,neutral
YRNXYk7Jd1s,@Birbikram.,2022-05-04 15:07:18,0.0,बेलेनको लागि भोट गर्नुहोस्!,before_election,Devanagari,positive
5XkszPOC2Dg,@solokta6807,2022-05-19 18:37:16,0.0,मेयर,before_election,Devanagari,negative
mHjX-6TJawk,@rahulkshyetri9833,2022-04-25 14:58:45,21.0,बलेन शाहलाई शुभकामना,before_election,Devanagari,positive
5XkszPOC2Dg,@Sameer-oj3lj,2022-05-15 01:04:42,0.0,काठमाडौँ मेयर,before_election,Devanagari,negative
5XkszPOC2Dg,@paraspoudel1965,2022-05-20 12:25:30,0.0,केटीएम मेयर सर,before_election,Devanagari,positive
5XkszPOC2Dg,@raghavbhandari7652,2021-11-09 17:04:11,0.0,येस्तो मुजी नी गीत हुन्झा,before_election,Devanagari,negative
YRNXYk7Jd1s,@zaralee1119,2022-05-07 17:22:49,0.0,झण्डै मारे हसरा हाहाहा,before_election,Devanagari,positive
mHjX-6TJawk,@rameshmagar2510,2022-05-15 04:00:07,0.0,सन्दिप रामरो लाग्थियो तारा ज्ञानमारा प्रचण्डेको कुपुटे को लागी बोल्दा मेरो नजर बता झर्यो,before_election,Devanagari,positive
